date cases
2023-12-19 60
2023-12-20 91
2023-12-21 83
2023-12-22 96
2023-12-23 33
2023-12-24 41
2023-12-25 43
2023-12-26 17
2023-12-27 91
2023-12-28 70
2023-12-29 65
2023-12-30 60
2023-12-31 55
2024-01-01 37
2024-01-02 77
2024-01-03 77
2024-01-04 91
2024-01-05 99
2024-01-06 35
2024-01-07 33
2024-01-08 98
2024-01-09 72
2024-01-10 89
2024-01-11 96
2024-01-12 84
2024-01-13 43
2024-01-14 58
2024-01-15 47
2024-01-16 69
2024-01-17 84
2024-01-18 83
2024-01-19 101
2024-01-20 39
2024-01-21 44
2024-01-22 90
2024-01-23 76
2024-01-24 94
2024-01-25 76
2024-01-26 92
2024-01-27 55
2024-01-28 38
2024-01-29 110
2024-01-30 85
2024-01-31 78
2024-02-01 98
2024-02-02 88
2024-02-03 52
2024-02-04 49
2024-02-05 86
2024-02-06 77
2024-02-07 114
2024-02-08 100
2024-02-09 100
2024-02-10 61
2024-02-11 58
2024-02-12 83
2024-02-13 77
2024-02-14 100
2024-02-15 86
2024-02-16 78
2024-02-17 44
2024-02-18 33
2024-02-19 62
2024-02-20 67
2024-02-21 79
2024-02-22 73
2024-02-23 111
2024-02-24 55
2024-02-25 57
2024-02-26 98
2024-02-27 79
2024-02-28 115
2024-02-29 92
2024-03-01 100
2024-03-02 61
2024-03-03 60
2024-03-04 100
2024-03-05 99
2024-03-06 102
2024-03-07 79
2024-03-08 118
2024-03-09 47
2024-03-10 74
2024-03-11 76
2024-03-12 125
2024-03-13 103
2024-03-14 121
2024-03-15 127
2024-03-16 64
2024-03-17 59
2024-03-18 89
2024-03-19 117
2024-03-20 103
2024-03-21 112
2024-03-22 112
2024-03-23 53
2024-03-24 65
2024-03-25 97
2024-03-26 90
2024-03-27 119
2024-03-28 112
2024-03-29 61
2024-03-30 76
2024-03-31 51
